emoji,subcat
😒,face-neutral-skeptical
😑,face-neutral-skeptical
🤨,face-neutral-skeptical
😶,face-neutral-skeptical
🤐,face-neutral-skeptical
🤥,face-neutral-skeptical
😔,face-sleepy
🤤,face-sleepy
😌,face-sleepy
😴,face-sleepy
😪,face-sleepy
😂,face-smiling
🤣,face-smiling
😊,face-smiling
😁,face-smiling
😅,face-smiling
😉,face-smiling
😆,face-smiling
🙂,face-smiling
😀,face-smiling
😄,face-smiling
😃,face-smiling
🙃,face-smiling
😇,face-smiling
😋,face-tongue
😜,face-tongue
🤪,face-tongue
😝,face-tongue
😛,face-tongue
🤑,face-tongue
🥵,face-unwell
🥴,face-unwell
🤮,face-unwell
🤢,face-unwell
🤯,face-unwell
🥶,face-unwell
😷,face-unwell
😵,face-unwell
🤧,face-unwell
🤕,face-unwell
🤒,face-unwell
💏,family
💑,family
👫,family
👭,family
👩‍❤️‍💋‍👨,family
👩‍❤️‍👨,family
👩‍❤️‍💋‍👩,family
👬,family
👪,family
👨‍❤️‍💋‍👨,family
👩‍❤️‍👩,family
👨‍❤️‍👨,family
🧑‍🤝‍🧑,family
👨‍👩‍👧‍👦,family
👨‍👩‍👧,family
👩‍👧,family
👩‍👦,family
👨‍👩‍👦,family
👨‍👩‍👦‍👦,family
👨‍👩‍👧‍👧,family
👨‍👧,family
👩‍👧‍👦,family
👨‍👦,family
👩‍👧‍👧,family
👩‍👩‍👧,family
👩‍👦‍👦,family
👩‍👩‍👧‍👧,family
👩‍👩‍👧‍👦,family
👨‍👨‍👧‍👧,family
👨‍👨‍👦,family
👨‍👧‍👦,family
👨‍👨‍👦‍👦,family
👨‍👨‍👧‍👦,family
👨‍👦‍👦,family
👩‍👩‍👦,family
👩‍👩‍👦‍👦,family
👨‍👨‍👧,family
👨‍👧‍👧,family
🚩,flag
🏳️‍🌈,flag
🏁,flag
🏴‍☠️,flag
🏴,flag
🏳️,flag
🎌,flag
🍜,food-asian
🍝,food-asian
🍚,food-asian
🍤,food-asian
🍣,food-asian
🍡,food-asian
🍥,food-asian
🥟,food-asian
🍠,food-asian
🍛,food-asian
🍱,food-asian
🍢,food-asian
🍙,food-asian
🥡,food-asian
🥮,food-asian
🍘,food-asian
🥠,food-asian
🍓,food-fruit
🍑,food-fruit
🍒,food-fruit
🍎,food-fruit
🍊,food-fruit
🍌,food-fruit
🍋,food-fruit
🍅,food-fruit
🍉,food-fruit
🍏,food-fruit
🍇,food-fruit
🍍,food-fruit
🥭,food-fruit
🍈,food-fruit
🥝,food-fruit
🥥,food-fruit
🍐,food-fruit
🦀,food-marine
🦐,food-marine
🦞,food-marine
🦑,food-marine
🦪,food-marine
🍕,food-prepared
🌮,food-prepared
🥚,food-prepared
🍿,food-prepared
🍔,food-prepared
🍗,food-prepared
🧀,food-prepared
🍞,food-prepared
🥓,food-prepared
🥩,food-prepared
🍟,food-prepared
🥞,food-prepared
🍖,food-prepared
🌭,food-prepared
🌯,food-prepared
🥪,food-prepared
🍳,food-prepared
🥗,food-prepared
🥫,food-prepared
🥐,food-prepared
🥣,food-prepared
🥖,food-prepared
🍲,food-prepared
🥨,food-prepared
🥯,food-prepared
🧈,food-prepared
🧇,food-prepared
🧂,food-prepared
🥘,food-prepared
🥙,food-prepared
🧆,food-prepared
🎂,food-sweet
🍰,food-sweet
🧁,food-sweet
🍫,food-sweet
🍭,food-sweet
🍨,food-sweet
🍦,food-sweet
🍬,food-sweet
🍪,food-sweet
🍩,food-sweet
🥧,food-sweet
🍯,food-sweet
🍧,food-sweet
🍮,food-sweet
🍆,food-vegetable
🌶️,food-vegetable
🍄,food-vegetable
🥒,food-vegetable
🥔,food-vegetable
🥑,food-vegetable
🥕,food-vegetable
🌽,food-vegetable
🥜,food-vegetable
🥦,food-vegetable
🥬,food-vegetable
🌰,food-vegetable
🧅,food-vegetable
🧄,food-vegetable
♥️,game
🎯,game
🧸,game
♠️,game
♦️,game
🔮,game
🎮,game
🧿,game
🎲,game
